PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
161,3,0,44,0,1,371362,16.1,2,-1
195,1,1,44,0,0,17610,27.7208,0,1
237,2,0,44,1,0,26707,26,2,-1
246,1,0,44,2,0,19928,90,1,-1
415,3,0,44,0,0,2,7.925,2,1
524,1,1,44,0,1,111361,57.9792,0,1
604,3,0,44,0,0,364511,8.05,2,-1
697,3,0,44,0,0,363592,8.05,2,-1
855,2,1,44,1,0,244252,26,2,-1
63,1,0,45,1,0,36973,83.475,2,-1
130,3,0,45,0,0,347061,6.975,2,-1
168,3,1,45,1,4,347088,27.9,2,-1
188,1,0,45,0,0,111428,26.55,2,1
277,3,1,45,0,0,347073,7.75,2,-1
339,3,0,45,0,0,7598,8.05,2,1
340,1,0,45,0,0,113784,35.5,2,-1
363,3,1,45,0,1,2691,14.4542,0,-1
441,2,1,45,1,1,13529,26.25,2,1
537,1,0,45,0,0,113050,26.55,2,-1
707,2,1,45,0,0,223596,13.5,2,1
857,1,1,45,1,1,36928,164.8667,2,1
204,3,0,45.5,0,0,2628,7.225,0,-1
332,1,0,45.5,0,0,113043,28.5,2,-1
93,1,0,46,1,0,5734,61.175,2,-1
398,2,0,46,0,0,28403,26,2,-1
790,1,0,46,0,0,17593,79.2,0,-1
111,1,0,47,0,0,110465,52,2,-1
133,3,1,47,1,0,5,14.5,2,-1
463,1,0,47,0,0,111320,38.5,2,-1
516,1,0,47,0,0,36967,34.0208,2,-1
587,2,0,47,0,0,237565,15,2,-1
593,3,0,47,0,0,5,7.25,2,-1
663,1,0,47,0,0,5727,25.5875,2,-1
872,1,1,47,1,1,11751,52.5542,2,1
874,3,0,47,0,0,345765,9,2,-1
461,1,0,48,0,0,19952,26.55,2,1
464,2,0,48,0,0,234360,13,2,-1
557,1,1,48,1,0,11755,39.6,0,1
646,1,0,48,1,0,17572,76.7292,0,1
713,1,0,48,1,0,19996,52,2,1
737,3,1,48,1,3,6608,34.375,2,-1
755,2,1,48,1,2,220845,65,2,1
772,3,0,48,0,0,350047,7.8542,2,-1
863,1,1,48,0,0,17466,25.9292,2,1
53,1,1,49,1,0,17572,76.7292,0,1
454,1,0,49,1,0,17453,89.1042,0,1
598,3,0,49,0,0,0,0,2,-1
600,1,0,49,1,0,17485,56.9292,0,1
699,1,0,49,1,1,17421,110.8833,0,-1
797,1,1,49,0,0,17465,25.9292,2,1
178,1,1,50,0,0,17595,28.7125,0,-1
260,2,1,50,0,1,230433,26,2,1
300,1,1,50,0,1,17558,247.5208,0,1
435,1,0,50,1,0,13507,55.9,2,-1
459,2,1,50,0,0,13531,10.5,2,1
483,3,0,50,0,0,5,8.05,2,-1
527,2,1,50,0,0,14258,10.5,2,1
545,1,0,50,1,0,17761,106.425,0,-1
661,1,0,50,2,0,17611,133.65,2,1
724,2,0,50,0,0,250643,13,2,-1
151,2,0,51,0,0,1166,12.525,2,-1
156,1,0,51,0,1,17597,61.3792,0,-1
223,3,0,51,0,0,21440,8.05,2,-1
407,3,0,51,0,0,347064,7.75,2,-1
632,3,0,51,0,0,347743,7.0542,2,-1
766,1,1,51,1,0,13502,77.9583,2,1
858,1,0,51,0,0,113055,26.55,2,1
263,1,0,52,1,1,110413,79.65,2,-1
450,1,0,52,0,0,113786,30.5,2,1
592,1,1,52,1,0,36947,78.2667,0,1
696,2,0,52,0,0,248731,13.5,2,-1
715,2,0,52,0,0,250647,13,2,-1
821,1,1,52,1,1,12749,93.5,2,1
572,1,1,53,2,0,11769,51.4792,2,1
7,1,0,54,0,0,17463,51.8625,2,-1
125,1,0,54,0,1,35281,77.2875,2,-1
250,2,0,54,1,0,244252,26,2,-1
318,2,0,54,0,0,29011,14,2,-1
497,1,1,54,1,0,36947,78.2667,0,1
514,1,1,54,1,0,17603,59.4,0,1
583,2,0,54,0,0,28403,26,2,-1
775,2,1,54,1,3,29105,23,2,1
16,2,1,55,0,0,248706,16,2,1
493,1,0,55,0,0,113787,30.5,2,-1
153,3,0,55.5,0,0,5,8.05,2,-1
175,1,0,56,0,0,17764,30.6958,0,-1
468,1,0,56,0,0,113792,26.55,2,-1
648,1,0,56,0,0,13213,35.5,0,1
880,1,1,56,0,1,11767,83.1583,0,1
627,2,0,57,0,0,219533,12.35,1,-1
773,2,1,57,0,0,3,10.5,2,-1
12,1,1,58,0,0,113783,26.55,2,1
196,1,1,58,0,0,17569,146.5208,0,1
269,1,1,58,0,1,17582,153.4625,2,1
488,1,0,58,0,0,11771,29.7,0,-1
660,1,0,58,0,2,35273,113.275,0,-1
95,3,0,59,0,0,364500,7.25,2,-1
233,2,0,59,0,0,237442,13.5,2,-1
367,1,1,60,1,0,110813,75.25,0,1
588,1,0,60,1,1,13567,79.2,0,1
685,2,0,60,1,1,29750,39,2,-1
695,1,0,60,0,0,113800,26.55,2,-1
171,1,0,61,0,0,111240,33.5,2,-1
327,3,0,61,0,0,345364,6.2375,2,-1
626,1,0,61,0,0,36963,32.3208,2,-1
253,1,0,62,0,0,113514,26.55,2,-1
556,1,0,62,0,0,113807,26.55,2,-1
571,2,0,62,0,0,752,10.5,2,1
830,1,1,62,0,0,113572,80,2,1
276,1,1,63,1,0,13502,77.9583,2,1
484,3,1,63,0,0,4134,9.5875,2,1
439,1,0,64,1,4,19950,263,2,-1
546,1,0,64,0,0,693,26,2,-1
55,1,0,65,0,1,113509,61.9792,0,-1
281,3,0,65,0,0,336439,7.75,1,-1
457,1,0,65,0,0,13509,26.55,2,-1
34,2,0,66,0,0,24579,10.5,2,-1
673,2,0,70,0,0,24580,10.5,2,-1
746,1,0,70,1,1,5735,71,2,-1
117,3,0,70.5,0,0,370369,7.75,1,-1
97,1,0,71,0,0,17754,34.6542,0,-1
494,1,0,71,0,0,17609,49.5042,0,-1
852,3,0,74,0,0,347060,7.775,2,-1
631,1,0,80,0,0,27042,30,2,1
